epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3914,0.61398,1.02262,1.157,1,0.98889,0.995,0.83545,0.5977,1.72497,1.23034,0.0847,0.0017,0.0017
2,91.8161,0.55667,0.89708,1.13276,1,0.98943,0.995,0.7852,0.677,1.60025,1.29695,0.0684307,0.0034307,0.0034307
3,136.56,0.55492,0.83235,1.11347,0.99936,1,0.995,0.86713,0.54519,1.21956,1.14481,0.0520901,0.00509012,0.00509012
4,180.969,0.5739,0.80406,1.11939,1,0.99569,0.995,0.84973,0.55816,1.35799,1.14448,0.0356783,0.00667826,0.00667826
5,224.106,0.63913,0.85463,1.1718,0.98975,0.9,0.98417,0.71349,0.781,1.19651,1.44096,0.0191951,0.00819512,0.00819512
6,268.616,0.7134,0.8304,1.20527,0.86025,0.82101,0.85812,0.54055,1.08337,1.87308,2.00293,0.00901,0.00901,0.00901
7,313.403,0.76401,0.95934,1.24385,0.90528,0.95597,0.9779,0.79091,0.64642,1.21088,1.19752,0.008812,0.008812,0.008812
8,357.777,0.73356,0.90372,1.2064,0.90188,0.96667,0.9614,0.70514,0.95027,1.26857,1.65899,0.008614,0.008614,0.008614
9,400.869,0.64416,0.76731,1.12416,0.96057,0.96667,0.9741,0.7869,0.67619,1.09797,1.30522,0.008416,0.008416,0.008416
10,444.738,0.69891,0.82833,1.17744,0.82759,1,0.97545,0.82456,0.648,1.13845,1.22505,0.008218,0.008218,0.008218
11,487.497,0.62283,0.78086,1.1278,0.83155,0.98754,0.94011,0.65501,0.83541,1.29439,1.35898,0.00802,0.00802,0.00802
12,530.726,0.68363,0.76331,1.14626,1,0.9244,0.98037,0.76106,0.7797,1.10446,1.41173,0.007822,0.007822,0.007822
13,572.501,0.65433,0.75404,1.1401,0.87465,0.86667,0.91554,0.64856,0.96294,1.41826,1.66231,0.007624,0.007624,0.007624
14,616.013,0.65114,0.71393,1.13763,0.92269,0.79579,0.86688,0.49366,1.27906,1.64536,2.56505,0.007426,0.007426,0.007426
15,658.85,0.62656,0.70149,1.11885,1,0.96312,0.99312,0.81629,0.6441,0.95533,1.25475,0.007228,0.007228,0.007228
16,702.174,0.64584,0.69659,1.11839,0.88206,0.9973,0.98216,0.78317,0.70277,0.96422,1.29086,0.00703,0.00703,0.00703
17,745.148,0.63638,0.71119,1.13914,0.96297,0.96667,0.98879,0.80159,0.73266,0.89782,1.316,0.006832,0.006832,0.006832
18,789.236,0.63494,0.72164,1.17098,0.96654,0.96287,0.98366,0.78949,0.69345,0.89516,1.32541,0.006634,0.006634,0.006634
19,833.666,0.63221,0.66125,1.10019,0.93483,0.96667,0.98689,0.81066,0.64902,0.84364,1.21787,0.006436,0.006436,0.006436
20,877.067,0.67954,0.66054,1.20953,0.96646,0.96078,0.96099,0.71749,0.75204,0.97317,1.47279,0.006238,0.006238,0.006238
21,921.144,0.56619,0.59904,1.10271,0.9665,0.96188,0.96906,0.76222,0.75006,0.93873,1.36311,0.00604,0.00604,0.00604
22,963.946,0.5852,0.61055,1.10081,0.92856,0.96667,0.97532,0.73682,0.84078,0.87603,1.49396,0.005842,0.005842,0.005842
23,1007.27,0.62775,0.64485,1.12666,0.90627,1,0.98979,0.79845,0.72624,0.75176,1.39881,0.005644,0.005644,0.005644
